accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.483499080679581218e-06,7.844403711379232006e-04,9.793594204003559511e+00
-3.151741580783460893e-06,7.852863268030162375e-04,9.793584064100032904e+00
-3.786218614894924011e-06,7.782630388214025396e-04,9.793587087739030750e+00
4.757593082919833189e-07,7.804695640531837154e-04,9.793589553424697058e+00
-3.062345456537545773e-06,7.756801583567062746e-04,9.793584569339941481e+00
-3.532369202242956719e-06,7.806018248035130483e-04,9.793587152296531428e+00
1.220341040715846385e-06,7.809409623602984801e-04,9.793592291581157738e+00
3.207861528011868643e-06,7.883581030176129573e-04,9.793591458392734594e+00
-2.902421382144599750e-06,7.801507283497786721e-04,9.793590094735154850e+00
5.204824791369809877e-06,7.784798162715786483e-04,9.793591522011437789e+00
3.807424013269074344e-06,7.801518106243066986e-04,9.793593700131379975e+00
-5.204523721168785362e-07,7.823966063334977144e-04,9.793589205031503653e+00
-1.874036877927280443e-06,7.796932351885858684e-04,9.793586910571843163e+00
-6.737641811654312442e-06,7.822707171805432002e-04,9.793589618063977653e+00
5.881802128825138254e-06,7.786595861330005471e-04,9.793586755553224776e+00
5.179593762005209632e-06,7.791207051712271915e-04,9.793595329549276585e+00
3.769639059269458332e-08,7.789942036749027653e-04,9.793591295264530316e+00
3.826868138661163409e-06,7.947507567710526081e-04,9.793587795085729297e+00
-4.232785226516463020e-06,7.820078591402198319e-04,9.793590571752332608e+00
1.731038242085107379e-06,7.832879421233343402e-04,9.793582139903339367e+00
-3.524238722024878768e-06,7.844077633263743174e-04,9.793590897289572439e+00
-4.766353180440026630e-06,7.844835568388990911e-04,9.793586635960037867e+00
3.802301894260589570e-07,7.839419946941528043e-04,9.793588687132547932e+00
3.056676772498456776e-06,7.812897607330469840e-04,9.793593876605083182e+00
-8.969367008748067112e-06,7.799986005612362210e-04,9.793591785473989120e+00
6.167959219379481397e-06,7.844316710503561633e-04,9.793586087896272829e+00
-6.596534335618323891e-06,7.839002592703252876e-04,9.793589971647568504e+00
-2.746419826388544391e-06,7.809558085713302856e-04,9.793588456259634256e+00
-7.510732281206138635e-06,7.808888796220466236e-04,9.793590731249048886e+00
7.760733041021667080e-06,7.798261034571118662e-04,9.793581954850742122e+00
1.453064540223914027e-06,7.800848765863255610e-04,9.793591710141498652e+00
-4.066718360940063279e-07,7.859559877075131826e-04,9.793590408213225018e+00
-2.420210296135584782e-06,7.788076379661101282e-04,9.793582246353047083e+00
1.850263704921178759e-06,7.769058706595350717e-04,9.793591946915194413e+00
-2.382965243086569003e-06,7.795819676393550383e-04,9.793590659435045254e+00
-6.012755607773803411e-06,7.908579869941841436e-04,9.793583490675766612e+00
-4.161463228166572105e-07,7.840538122883396145e-04,9.793593886910201718e+00
3.711249206950387187e-06,7.834464152576062212e-04,9.793587873921824283e+00
4.838189316198582958e-06,7.783806015556109454e-04,9.793599672799571110e+00
-4.398206092520479041e-06,7.853574068169645378e-04,9.793582801237228352e+00
3.658904906020314851e-06,7.857829070705579398e-04,9.793589237032572115e+00
7.219277234377654789e-07,7.809048136265042944e-04,9.793594691398888941e+00
-2.605995613307866178e-06,7.790376337626004526e-04,9.793598934238392673e+00
-8.362746932899243197e-06,7.775392816566565994e-04,9.793594491373630362e+00
-4.803589182619355560e-07,7.899071736354161153e-04,9.793590276732322408e+00
4.652927026626900466e-06,7.856228892102176458e-04,9.793584326463273371e+00
-3.951475501063987571e-06,7.911814938446930711e-04,9.793593242333814786e+00
1.845436427895887527e-06,7.814598279020820411e-04,9.793583580128919053e+00
-7.215618695020829969e-06,7.864284599639908722e-04,9.793585197210560978e+00
-1.424978094571475408e-06,7.801313323687804899e-04,9.793586942120477090e+00
-1.253375049839955091e-07,7.850513099930577421e-04,9.793591950849599215e+00
7.718523245636221082e-07,7.821888697454136693e-04,9.793591518706255883e+00
4.988250268763525420e-06,7.810439201987680238e-04,9.793596222129259843e+00
3.213037790306895344e-06,7.834206790562179981e-04,9.793588621018423979e+00
3.772620430872157520e-06,7.786995492389489106e-04,9.793588598430341463e+00
3.838696906931515784e-06,7.809387807652562767e-04,9.793591051887219123e+00
-1.949082720636937119e-06,7.828957901969274547e-04,9.793590660080354837e+00
8.097390536664013210e-07,7.850432968712461445e-04,9.793598966382754512e+00
1.493565886896695447e-06,7.868070866827270131e-04,9.793588057681226644e+00
4.230685672397997605e-06,7.830175592149810722e-04,9.793592685783147900e+00
-2.301691437063282345e-06,7.834113267354359325e-04,9.793590336698439813e+00
-7.377609739539252685e-07,7.821865315778945855e-04,9.793595119334012722e+00
-4.074724036772736806e-06,7.906453597973636454e-04,9.793591075140218649e+00
-1.732741732711386470e-06,7.823690600194960904e-04,9.793583595579384848e+00
8.161302154321494620e-07,7.751903437927471288e-04,9.793594532963647126e+00
6.264890230629161957e-06,7.825009318680625249e-04,9.793590065569416581e+00
1.180613007069142574e-05,7.787361144527543818e-04,9.793590425562578972e+00
3.208825246626585828e-06,7.832716198275686001e-04,9.793593809221864177e+00
8.279875586772308203e-07,7.813119771940794803e-04,9.793590901399159776e+00
6.393615474023006354e-06,7.830778528911988253e-04,9.793585864918931350e+00
4.198143876554155221e-06,7.735416177553337434e-04,9.793595514752055919e+00
2.265467007009795107e-06,7.832356522458918096e-04,9.793591003490220714e+00
-6.355705966538348543e-06,7.780323521298553383e-04,9.793595556330830121e+00
2.318630582598196158e-06,7.876233999909218854e-04,9.793589120124288172e+00
7.409281534467222186e-06,7.803920298376486060e-04,9.793585383591366877e+00
5.738281617617682993e-06,7.848072281634337804e-04,9.793587583224979909e+00
1.245302666273740611e-05,7.803604376196061508e-04,9.793585141516139458e+00
4.966961100843899106e-07,7.809430906554777879e-04,9.793587203844825950e+00
-4.256214532988289875e-06,7.812663294833518133e-04,9.793597650556826295e+00
-8.969466482462096724e-08,7.812587198829084451e-04,9.793583697437000524e+00
-4.231116151596488925e-07,7.880095034644533925e-04,9.793596247532271093e+00
3.668932193959936013e-06,7.835713532877712668e-04,9.793584751758615425e+00
5.641625917239132019e-06,7.755864726686251438e-04,9.793588863187455473e+00
-1.442271576788251358e-06,7.784868492052199242e-04,9.793590401891950847e+00
-1.734155493811699042e-06,7.962039754611758028e-04,9.793585928737453372e+00
3.598431830400252486e-06,7.813674123491251566e-04,9.793585397767559542e+00
1.470471526511372837e-06,7.889508328076838854e-04,9.793583125982671334e+00
1.438692551813557851e-06,7.838605562801929634e-04,9.793591158189361323e+00
3.837582038543964311e-06,7.898544620589967400e-04,9.793597286061157092e+00
-2.406885853792226547e-06,7.871790473787252307e-04,9.793600492227882981e+00
1.762362557856865594e-06,7.749465411195826173e-04,9.793591234005271318e+00
8.073282794010202840e-06,7.814062666177809188e-04,9.793587537184343716e+00
-6.292731842964596891e-06,7.779201607563967797e-04,9.793591698917257560e+00
-6.126108761520657184e-06,7.789499400637390093e-04,9.793580545830700146e+00
3.449255127704330040e-06,7.796870963714615287e-04,9.793589920274047955e+00
-1.604415791844762947e-06,7.826623195646721914e-04,9.793596678343460482e+00
-3.833850784359645134e-06,7.785004961511026280e-04,9.793583651743249519e+00
7.593132962757174097e-07,7.832772190105187883e-04,9.793581577473826627e+00
6.913576469272876165e-06,7.868210814141908668e-04,9.793590541181188769e+00
5.687913287751760185e-06,7.826175227007888934e-04,9.793581516583337532e+00
4.740476465519794728e-06,7.762087388857622731e-04,9.793588801998582838e+00
4.821783976293768435e-06,7.812565940623374377e-04,9.793598584848648869e+00
4.241301437636522575e-07,7.742400613118343398e-04,9.793590786968357165e+00
1.070527985803386545e-06,7.820617626700459516e-04,9.793588790227980567e+00
-3.086684822785403066e-06,7.794836549000692645e-04,9.793591564824007278e+00
3.205127162654336429e-06,7.760245814593568414e-04,9.793588245035282469e+00
9.214490375578022017e-07,7.777940696147166069e-04,9.793588693953120483e+00
-1.091342475789451497e-06,7.840850698519762118e-04,9.793587588057119930e+00
2.507338764756944343e-06,7.863029134017163581e-04,9.793587416338100482e+00
-5.205156739889409615e-06,7.855720877962846802e-04,9.793595265301361152e+00
2.333924331620662616e-06,7.834257577943862976e-04,9.793587828194590728e+00
-1.700948350063328780e-06,7.849396382214331820e-04,9.793597289753840585e+00
-4.497108681939343597e-06,7.878365689933732345e-04,9.793594070156345310e+00
-1.427621400014870316e-06,7.859350961277271732e-04,9.793594073534750422e+00
3.174269805195418854e-06,7.839537731247711192e-04,9.793593484004956551e+00
-3.694577751438875332e-06,7.793989353787716652e-04,9.793582012259316016e+00
1.053825364209849272e-05,7.842845922274220517e-04,9.793588665051011333e+00
2.904437694569972950e-06,7.847384657384548490e-04,9.793583275892917328e+00
-7.493258332521799344e-06,7.778471373036819009e-04,9.793592803005157776e+00
5.807748666611342252e-06,7.869721868507480221e-04,9.793587425054985474e+00
1.604033923478723263e-06,7.802247667745632661e-04,9.793591473217061250e+00
5.022901478054733019e-06,7.786790655808099914e-04,9.793589481715656575e+00
4.635652090502559040e-06,7.871753309308986623e-04,9.793586470552172685e+00
6.620912881891158104e-07,7.866586339172692384e-04,9.793584513974620265e+00
5.383971846231105503e-06,7.857840020738864019e-04,9.793585373298069996e+00
-1.383221062569399802e-07,7.831371028402557815e-04,9.793598419973394087e+00
1.934324310352030006e-06,7.770355314978618115e-04,9.793591537138118142e+00
1.762370904349305344e-06,7.816990354755382628e-04,9.793598191530513475e+00
-3.716707820322478909e-06,7.819442902567362011e-04,9.793591614923998989e+00
3.305823184621997046e-07,7.840888199182910901e-04,9.793586003337804158e+00
1.117873168397059818e-06,7.824712538501616722e-04,9.793588367955033291e+00
-1.574578311903995406e-06,7.880420301122634599e-04,9.793596176172139067e+00
9.036232311112549486e-06,7.757051255308462573e-04,9.793594417235786054e+00
1.640867731067244863e-06,7.829565372886701687e-04,9.793585034230336106e+00
-4.019028623362266824e-07,7.830985256254845194e-04,9.793594594620818938e+00
6.175694817794743225e-06,7.859187132105107569e-04,9.793591447792440619e+00
1.128132659854852373e-06,7.831032117704479116e-04,9.793593334793490257e+00
5.726620077282190116e-06,7.830079492993574988e-04,9.793594604383592639e+00
-3.318658082873258222e-06,7.883469373053018318e-04,9.793595299314215907e+00
7.103792341188508586e-07,7.848854426709988468e-04,9.793593390190508785e+00
1.658810490934675704e-06,7.784134298901692955e-04,9.793586581520555612e+00
7.348678259182423429e-06,7.871140083363594884e-04,9.793588389103883074e+00
-4.437474499865868636e-07,7.828069353943070815e-04,9.793592720145355202e+00
-2.067425432873301799e-06,7.838167345362351181e-04,9.793591554989365733e+00
6.041367610761795504e-06,7.857735498187078419e-04,9.793581985668922130e+00
-2.062278582670677041e-06,7.896904928269020190e-04,9.793582710714858308e+00
2.819145138513815990e-06,7.771465791552101612e-04,9.793589229120232886e+00
-2.491800803523578236e-06,7.849658249810335638e-04,9.793589135476143070e+00
2.708375364033815859e-06,7.834571625113720796e-04,9.793594770889864520e+00
3.473445261562894295e-09,7.891823328587337745e-04,9.793595345215321046e+00
2.682615643097975924e-06,7.767774458949538606e-04,9.793588235198310343e+00
-2.187093457582849378e-06,7.853963969399356190e-04,9.793590778806764874e+00
-1.250543602448255040e-06,7.832884645619540495e-04,9.793592298294754528e+00
2.028513525165560186e-06,7.832865221656158759e-04,9.793590365618108251e+00
8.229278224908944621e-07,7.798036402662313375e-04,9.793594256837128142e+00
4.286407144958416750e-06,7.895652179881152907e-04,9.793591696444993389e+00
1.027046833128947242e-06,7.882590424128541832e-04,9.793595108276479166e+00
3.543233826832419835e-06,7.811526089685729606e-04,9.793585148454315714e+00
-1.598469024324344267e-06,7.814086161287194790e-04,9.793592708536234426e+00
-3.938265020737554582e-06,7.798338679408199766e-04,9.793586299872700351e+00
1.047071987732886432e-05,7.813787011547868987e-04,9.793593953410095310e+00
1.564574057810811952e-06,7.860696903241904147e-04,9.793595253363546860e+00
5.443484643133416945e-06,7.797211269902392175e-04,9.793583125325040939e+00
-4.586829719480817179e-06,7.831877880427517893e-04,9.793595054938569078e+00
2.712551215859009821e-06,7.828753357590674013e-04,9.793589945163041932e+00
8.089660269044628897e-06,7.806064523192721930e-04,9.793584493193943530e+00
7.820082755485469427e-07,7.844217964375888291e-04,9.793595056407637500e+00
-6.040080461509149966e-06,7.779590325652595674e-04,9.793595941401727956e+00
8.898259173869409888e-07,7.760413884035428271e-04,9.793591390890608039e+00
2.718777880475974001e-06,7.861986306744485342e-04,9.793589130336059156e+00
3.551733490368076005e-06,7.863780915262041623e-04,9.793595435549590889e+00
9.345348304146507064e-06,7.809146368201329335e-04,9.793591367500511069e+00
-3.287189944624536448e-06,7.874165981117034864e-04,9.793578484983884280e+00
6.333455925299851891e-06,7.787952074022389242e-04,9.793584627026060474e+00
-1.196892799385017722e-06,7.843352682457710185e-04,9.793581590060401965e+00
6.132150552313191821e-06,7.771810810437405643e-04,9.793586093145679072e+00
2.836497611563765421e-06,7.815232904299083180e-04,9.793597426782866933e+00
8.564000456476434264e-07,7.856946034132801472e-04,9.793594050988332356e+00
-1.794298680919913564e-06,7.748200144048587737e-04,9.793594931465316122e+00
-5.120572994718818226e-06,7.809714222120243358e-04,9.793588985870332664e+00
-5.170553382349117097e-06,7.894996618563189213e-04,9.793594090164679855e+00
-1.701336143717902825e-06,7.784986343124109453e-04,9.793591870911081188e+00
-4.692123763589353086e-06,7.798639066794894057e-04,9.793589175030486871e+00
2.718896161959758922e-06,7.845761715639838763e-04,9.793586229154849221e+00
9.437095141924584619e-06,7.820170878400789375e-04,9.793582390739064891e+00
8.012859066148372570e-06,7.756408965549498220e-04,9.793590388235827504e+00
1.190182261691607461e-06,7.838793265402196897e-04,9.793589519626836548e+00
5.371950672251084474e-06,7.809820313336685678e-04,9.793589974726112146e+00
1.125779007256098951e-05,7.785523363070473782e-04,9.793585540427230285e+00
1.708375766142171300e-06,7.830183657539350767e-04,9.793589214951722965e+00
-1.441064671180692792e-06,7.761962977395508350e-04,9.793590554336249809e+00
2.909823645308495944e-06,7.814304529733353318e-04,9.793585063509427258e+00
-5.993869995507703514e-07,7.888981110627461390e-04,9.793591350170776977e+00
3.367579350530628456e-06,7.790354761664673375e-04,9.793595196143025206e+00
-3.802264249446672888e-06,7.834032126070631470e-04,9.793590832006280777e+00
7.781478607898237741e-06,7.768662240768231487e-04,9.793589538746772405e+00
-3.920494561092383399e-06,7.856364210535231405e-04,9.793597376984813252e+00
-6.921925201373449203e-06,7.786934939737578465e-04,9.793593730672355946e+00
-3.876341369632448251e-06,7.849611595118461500e-04,9.793596262362113336e+00
6.178874331125060597e-06,7.828726338218466732e-04,9.793588486520343750e+00
-3.943933089417592869e-06,7.833042010481012021e-04,9.793584382719076942e+00
-2.569287058484687891e-06,7.759969862895943092e-04,9.793593812766266282e+00
4.174681392122109406e-07,7.795893814962331697e-04,9.793589389476197837e+00
3.257883709677470353e-06,7.811779585604072427e-04,9.793591933145782136e+00
-2.398521154291152187e-06,7.833222967159630306e-04,9.793593046692327775e+00
3.118438023644460828e-06,7.871714876766407448e-04,9.793591057893106466e+00
1.028652205069714988e-06,7.782550610652406954e-04,9.793595035232401713e+00
-6.272943733181889145e-06,7.845072564181273340e-04,9.793593501874330087e+00
-9.846397615968875886e-08,7.818012303500802016e-04,9.793597625650912519e+00
-6.781365357729484680e-06,7.812921470449016997e-04,9.793584821248833450e+00
-4.286985361445953889e-06,7.796806560040267509e-04,9.793584681119581248e+00
4.721388865977221031e-06,7.840792263433440500e-04,9.793585940705353821e+00
2.377228015422376749e-06,7.811253834783038258e-04,9.793592174039719822e+00
8.200962075391218776e-06,7.830360881820886678e-04,9.793586274767742239e+00
2.235999819583824384e-06,7.798775928911892696e-04,9.793589936252560690e+00
1.086358340831846025e-06,7.845961401387403821e-04,9.793593410299623159e+00
5.663917288007883468e-06,7.851265965995001938e-04,9.793587304622150214e+00
-1.426038084718388192e-06,7.830374190706318113e-04,9.793594136772759029e+00
7.247694813338051491e-06,7.754809015436996611e-04,9.793596261652032453e+00
9.170575301054304976e-06,7.843809506565915281e-04,9.793590675875337936e+00
3.545432709838836141e-06,7.775412196802381675e-04,9.793593581516548241e+00
6.118100716198869971e-07,7.805905797473792866e-04,9.793589462477282126e+00
2.241937822699004474e-06,7.839933121549742595e-04,9.793591147932717789e+00
5.956283813508043252e-06,7.864626677196561843e-04,9.793585618604838672e+00
-1.197912375304360429e-06,7.727759958240254133e-04,9.793591549379888406e+00
-2.749538519088704430e-06,7.871138092775893701e-04,9.793585222904846788e+00
-5.315185475038949421e-06,7.815312847531852465e-04,9.793590360636130754e+00
-3.638779684538478957e-06,7.809996548372239366e-04,9.793593236684563053e+00
9.410437261361279134e-06,7.886951754826000867e-04,9.793597292934654419e+00
