ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.150826618584393302e+01,1.204019890000000004e+02,0.000000000000000000e+00,4.299999999999952749e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150827010455688892e+01,1.204019890000000004e+02,0.000000000000000000e+00,4.399999999999950617e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150827411345886020e+01,1.204019890000000004e+02,0.000000000000000000e+00,4.499999999999948486e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150827821254985039e+01,1.204019890000000004e+02,0.000000000000000000e+00,4.599999999999946354e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150828240182985951e+01,1.204019890000000004e+02,0.000000000000000000e+00,4.699999999999944222e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150828668129889110e+01,1.204019890000000004e+02,0.000000000000000000e+00,4.799999999999942091e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150829105095693450e+01,1.204019890000000004e+02,0.000000000000000000e+00,4.899999999999939959e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150829551080399682e+01,1.204019890000000004e+02,0.000000000000000000e+00,4.999999999999937828e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150830006084008161e+01,1.204019890000000004e+02,0.000000000000000000e+00,5.099999999999935696e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150830470106517467e+01,1.204019890000000004e+02,0.000000000000000000e+00,5.199999999999933564e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150830943147928664e+01,1.204019890000000004e+02,0.000000000000000000e+00,5.299999999999931433e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150831425208242464e+01,1.204019890000000004e+02,0.000000000000000000e+00,5.399999999999929301e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150831916287457091e+01,1.204019890000000004e+02,0.000000000000000000e+00,5.499999999999927169e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150832416385573254e+01,1.204019890000000004e+02,0.000000000000000000e+00,5.599999999999925038e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150832925502590953e+01,1.204019890000000004e+02,0.000000000000000000e+00,5.699999999999922906e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150833443638510545e+01,1.204019890000000004e+02,0.000000000000000000e+00,5.799999999999920774e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150833970793331673e+01,1.204019890000000004e+02,0.000000000000000000e+00,5.899999999999918643e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150834506967054693e+01,1.204019890000000004e+02,0.000000000000000000e+00,5.999999999999916511e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150835052159678540e+01,1.204019890000000004e+02,0.000000000000000000e+00,6.099999999999914380e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150835606371204278e+01,1.204019890000000004e+02,0.000000000000000000e+00,6.199999999999912248e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150836169601631553e+01,1.204019890000000004e+02,0.000000000000000000e+00,6.299999999999910116e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150836741850959655e+01,1.204019890000000004e+02,0.000000000000000000e+00,6.399999999999907985e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150837323119190359e+01,1.204019890000000004e+02,0.000000000000000000e+00,6.499999999999905853e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150837913406321178e+01,1.204019890000000004e+02,0.000000000000000000e+00,6.599999999999903721e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150838512712353889e+01,1.204019890000000004e+02,0.000000000000000000e+00,6.699999999999901590e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150839121037288493e+01,1.204019890000000004e+02,0.000000000000000000e+00,6.799999999999899458e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150839738381123922e+01,1.204019890000000004e+02,0.000000000000000000e+00,6.899999999999897327e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150840364743860533e+01,1.204019890000000004e+02,0.000000000000000000e+00,6.999999999999895195e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150841000125498681e+01,1.204019890000000004e+02,0.000000000000000000e+00,7.099999999999893063e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150841644526038010e+01,1.204019890000000004e+02,0.000000000000000000e+00,7.199999999999890932e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150842297945478521e+01,1.204019890000000004e+02,0.000000000000000000e+00,7.299999999999888800e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150842960383819857e+01,1.204019890000000004e+02,0.000000000000000000e+00,7.399999999999886668e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150843631841062731e+01,1.204019890000000004e+02,0.000000000000000000e+00,7.499999999999884537e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150844312317206786e+01,1.204019890000000004e+02,0.000000000000000000e+00,7.599999999999882405e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150845001812251667e+01,1.204019890000000004e+02,0.000000000000000000e+00,7.699999999999880274e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150845700326198084e+01,1.204019890000000004e+02,0.000000000000000000e+00,7.799999999999878142e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150846407859044973e+01,1.204019890000000004e+02,0.000000000000000000e+00,7.899999999999876010e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150847124410793043e+01,1.204019890000000004e+02,0.000000000000000000e+00,7.999999999999873879e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150847849981442650e+01,1.204019890000000004e+02,0.000000000000000000e+00,8.099999999999871747e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150848584570993083e+01,1.204019890000000004e+02,0.000000000000000000e+00,8.199999999999869615e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150849328179443631e+01,1.204019890000000004e+02,0.000000000000000000e+00,8.299999999999867484e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150850080806796072e+01,1.204019890000000004e+02,0.000000000000000000e+00,8.399999999999865352e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150850842453048628e+01,1.204019890000000004e+02,0.000000000000000000e+00,8.499999999999863221e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150851613118202010e+01,1.204019890000000004e+02,0.000000000000000000e+00,8.599999999999861089e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150852392802256929e+01,1.204019890000000004e+02,0.000000000000000000e+00,8.699999999999858957e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150853181505211609e+01,1.204019890000000004e+02,0.000000000000000000e+00,8.799999999999856826e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150853979227067825e+01,1.204019890000000004e+02,0.000000000000000000e+00,8.899999999999854694e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150854785967824157e+01,1.204019890000000004e+02,0.000000000000000000e+00,8.999999999999852562e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150855601727481670e+01,1.204019890000000004e+02,0.000000000000000000e+00,9.099999999999850431e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150856426506039298e+01,1.204019890000000004e+02,0.000000000000000000e+00,9.199999999999848299e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150857260303498109e+01,1.204019890000000004e+02,0.000000000000000000e+00,9.299999999999846167e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150858103119857034e+01,1.204019890000000004e+02,0.000000000000000000e+00,9.399999999999844036e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150858954955116786e+01,1.204019890000000004e+02,0.000000000000000000e+00,9.499999999999841904e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150859808503659210e+01,1.204019889940390726e+02,0.000000000000000000e+00,9.409976180947538182e+00,-2.117248213570762511e-02,0.000000000000000000e+00
3.150860653111116605e+01,1.204019889438215500e+02,0.000000000000000000e+00,9.309579889409587139e+00,-8.844366964579482293e-02,0.000000000000000000e+00
3.150861488618448547e+01,1.204019888015336903e+02,0.000000000000000000e+00,9.207821633064835254e+00,-2.003017065906773642e-01,0.000000000000000000e+00
3.150862314841331369e+01,1.204019885209669383e+02,0.000000000000000000e+00,9.103072723099121077e+00,-3.551999408342723652e-01,0.000000000000000000e+00
3.150863131423904306e+01,1.204019880575720265e+02,0.000000000000000000e+00,8.993104493974010794e+00,-5.515175069428170929e-01,0.000000000000000000e+00
3.150863937786327185e+01,1.204019873685612083e+02,0.000000000000000000e+00,8.875130094317103868e+00,-7.875060691492250520e-01,0.000000000000000000e+00
3.150864733076268820e+01,1.204019864130723789e+02,0.000000000000000000e+00,8.745850623543525160e+00,-1.061224232037396797e+00,0.000000000000000000e+00
3.150865516124808607e+01,1.204019851524077609e+02,0.000000000000000000e+00,8.601507762017176262e+00,-1.370461316476443647e+00,0.000000000000000000e+00
3.150866285407420264e+01,1.204019835503567890e+02,0.000000000000000000e+00,8.437945335783853196e+00,-1.712652477977841370e+00,0.000000000000000000e+00
3.150867039025009575e+01,1.204019815742888539e+02,0.000000000000000000e+00,8.251732057482762173e+00,-2.080629244125791200e+00,0.000000000000000000e+00
3.150867775042532770e+01,1.204019792101726125e+02,0.000000000000000000e+00,8.046952569681343093e+00,-2.444310606551264531e+00,0.000000000000000000e+00
3.150868492046110347e+01,1.204019764735710538e+02,0.000000000000000000e+00,7.829689583363568239e+00,-2.784252328394149600e+00,0.000000000000000000e+00
3.150869189100428613e+01,1.204019733928643348e+02,0.000000000000000000e+00,7.604386518571215170e+00,-3.094738385739996822e+00,0.000000000000000000e+00
3.150869865621504928e+01,1.204019699996426027e+02,0.000000000000000000e+00,7.374353354398921034e+00,-3.375057422395307594e+00,0.000000000000000000e+00
3.150870521290915249e+01,1.204019663252405508e+02,0.000000000000000000e+00,7.142141499525205717e+00,-3.626281125445206754e+00,0.000000000000000000e+00
3.150871155997542772e+01,1.204019623995202721e+02,0.000000000000000000e+00,6.909771917468198410e+00,-3.850084680700958550e+00,0.000000000000000000e+00
3.150871769795667277e+01,1.204019582504792112e+02,0.000000000000000000e+00,6.678868419919329114e+00,-4.048310342526206362e+00,0.000000000000000000e+00
3.150872362872730648e+01,1.204019539041660778e+02,0.000000000000000000e+00,6.450739396790802438e+00,-4.222802533234466971e+00,0.000000000000000000e+00
3.150872935523271678e+01,1.204019493847139586e+02,0.000000000000000000e+00,6.226433095263306683e+00,-4.375343519109125445e+00,0.000000000000000000e+00
3.150873488127217570e+01,1.204019447144201251e+02,0.000000000000000000e+00,6.006779014771907121e+00,-4.507627520957813161e+00,0.000000000000000000e+00
3.150874021131558678e+01,1.204019399138444584e+02,0.000000000000000000e+00,5.792421299157526349e+00,-4.621250425270925888e+00,0.000000000000000000e+00
3.150874535034805035e+01,1.204019350019148078e+02,0.000000000000000000e+00,5.583846844480198079e+00,-4.717706478511463963e+00,0.000000000000000000e+00
3.150875030373811114e+01,1.204019299960342408e+02,0.000000000000000000e+00,5.381409440393778887e+00,-4.798388524790509813e+00,0.000000000000000000e+00
3.150875507712639489e+01,1.204019249121868427e+02,0.000000000000000000e+00,5.185350664277083688e+00,-4.864590269332223826e+00,0.000000000000000000e+00
3.150875967633196595e+01,1.204019197650403612e+02,0.000000000000000000e+00,4.995817992451931033e+00,-4.917509795241300274e+00,0.000000000000000000e+00
3.150876410727398280e+01,1.204019145680450293e+02,0.000000000000000000e+00,4.812880479144216572e+00,-4.958253875455867821e+00,0.000000000000000000e+00
3.150876837590660884e+01,1.204019093335273709e+02,0.000000000000000000e+00,4.636542296188799206e+00,-4.987842773750282177e+00,0.000000000000000000e+00
3.150877248816539122e+01,1.204019040727789474e+02,0.000000000000000000e+00,4.466754390530517149e+00,-5.007215315390079802e+00,0.000000000000000000e+00
3.150877644992337068e+01,1.204018987961395482e+02,0.000000000000000000e+00,4.303424489102130934e+00,-5.017234065358791462e+00,0.000000000000000000e+00
3.150878026695574974e+01,1.204018935130750094e+02,0.000000000000000000e+00,4.146425656849801022e+00,-5.018690493766114535e+00,0.000000000000000000e+00
3.150878394491162382e+01,1.204018882322498314e+02,0.000000000000000000e+00,3.995603591931061072e+00,-5.012310039906578751e+00,0.000000000000000000e+00
3.150878748929189399e+01,1.204018829615941257e+02,0.000000000000000000e+00,3.850782821988851801e+00,-4.998757011285532847e+00,0.000000000000000000e+00
3.150879090543242356e+01,1.204018777083658449e+02,0.000000000000000000e+00,3.711771946834552693e+00,-4.978639273405209842e+00,0.000000000000000000e+00
3.150879419849144014e+01,1.204018724792080093e+02,0.000000000000000000e+00,3.578368055861484986e+00,-4.952512701325542999e+00,0.000000000000000000e+00
3.150879737344077824e+01,1.204018672802015146e+02,0.000000000000000000e+00,3.450360433055213782e+00,-4.920885375824942010e+00,0.000000000000000000e+00
3.150880043506008477e+01,1.204018621169134775e+02,0.000000000000000000e+00,3.327533648533088417e+00,-4.884221516053590229e+00,0.000000000000000000e+00
3.150880338793368551e+01,1.204018569944417010e+02,0.000000000000000000e+00,3.209670123067153380e+00,-4.842945147437750286e+00,0.000000000000000000e+00
3.150880623644950163e+01,1.204018519174552750e+02,0.000000000000000000e+00,3.096552240934057121e+00,-4.797443508699925196e+00,0.000000000000000000e+00
3.150880898479977787e+01,1.204018468902318943e+02,0.000000000000000000e+00,2.987964076591835827e+00,-4.748070205567467283e+00,0.000000000000000000e+00
3.150881163698315746e+01,1.204018419166917795e+02,0.000000000000000000e+00,2.883692791998836213e+00,-4.695148121345561698e+00,0.000000000000000000e+00
3.150881419680796824e+01,1.204018370004287419e+02,0.000000000000000000e+00,2.783529753756150527e+00,-4.638972096268205725e+00,0.000000000000000000e+00
3.150881666789639368e+01,1.204018321447385489e+02,0.000000000000000000e+00,2.687271412565803264e+00,-4.579811388606239042e+00,0.000000000000000000e+00
3.150881905368930802e+01,1.204018273526448013e+02,0.000000000000000000e+00,2.594719981651932628e+00,-4.517911931060301534e+00,0.000000000000000000e+00
3.150882135745172619e+01,1.204018226269223817e+02,0.000000000000000000e+00,2.505683945697172454e+00,-4.453498396123690029e+00,0.000000000000000000e+00
3.150882358227862667e+01,1.204018179701190263e+02,0.000000000000000000e+00,2.419978427414700484e+00,-4.386776083965114204e+00,0.000000000000000000e+00
3.150882574663202718e+01,1.204018133512945639e+02,0.000000000000000000e+00,2.380270300436877928e+00,-4.397080087610207855e+00,0.000000000000000000e+00
3.150882787976831167e+01,1.204018087139196922e+02,0.000000000000000000e+00,2.347041591064824129e+00,-4.414906088447629884e+00,0.000000000000000000e+00
3.150882998358234488e+01,1.204018040583294322e+02,0.000000000000000000e+00,2.315393095832043446e+00,-4.431586037952254920e+00,0.000000000000000000e+00
3.150883205947189936e+01,1.204017993856912483e+02,0.000000000000000000e+00,2.285257627906711608e+00,-4.447201094406935340e+00,0.000000000000000000e+00
3.150883410877491286e+01,1.204017946970901249e+02,0.000000000000000000e+00,2.256569848987359794e+00,-4.461826141462844397e+00,0.000000000000000000e+00
3.150883613277116169e+01,1.204017899935350471e+02,0.000000000000000000e+00,2.229266364359498098e+00,-4.475530301174983627e+00,0.000000000000000000e+00
3.150883813268406186e+01,1.204017852759647695e+02,0.000000000000000000e+00,2.203285789867853506e+00,-4.488377404827543771e+00,0.000000000000000000e+00
3.150884010968250237e+01,1.204017805452531604e+02,0.000000000000000000e+00,2.178568795144550929e+00,-4.500426424776042822e+00,0.000000000000000000e+00
3.150884206488269257e+01,1.204017758022141891e+02,0.000000000000000000e+00,2.155058126844240363e+00,-4.511731870348973494e+00,0.000000000000000000e+00
3.150884399935007352e+01,1.204017710476064167e+02,0.000000000000000000e+00,2.132698615124271502e+00,-4.522344150664240559e+00,0.000000000000000000e+00
3.150884591410114766e+01,1.204017662821370891e+02,0.000000000000000000e+00,2.111437166162126289e+00,-4.532309907028567508e+00,0.000000000000000000e+00
3.150884781010539371e+01,1.204017615064660873e+02,0.000000000000000000e+00,2.091222743114645066e+00,-4.541672317404692905e+00,0.000000000000000000e+00
3.150884968828706789e+01,1.204017567212093383e+02,0.000000000000000000e+00,2.072006337587044555e+00,-4.550471375253247075e+00,0.000000000000000000e+00
3.150885154952704426e+01,1.204017519269421257e+02,0.000000000000000000e+00,2.053740933387538714e+00,-4.558744144885577221e+00,0.000000000000000000e+00
3.150885339466458390e+01,1.204017471242018900e+02,0.000000000000000000e+00,2.036381464089938920e+00,-4.566524995301238121e+00,0.000000000000000000e+00
3.150885522449909004e+01,1.204017423134912548e+02,0.000000000000000000e+00,2.019884765706859042e+00,-4.573845814330145920e+00,0.000000000000000000e+00
3.150885703979178842e+01,1.204017374952802157e+02,0.000000000000000000e+00,2.004209525585825880e+00,-4.580736204754765062e+00,0.000000000000000000e+00
3.150885884126736158e+01,1.204017326700086983e+02,0.000000000000000000e+00,1.989316228475711767e+00,-4.587223663952219255e+00,0.000000000000000000e+00
3.150886062961558309e+01,1.204017278380886466e+02,0.000000000000000000e+00,1.975167100568248291e+00,-4.593333748469936140e+00,0.000000000000000000e+00
3.150886240549285233e+01,1.204017229999058713e+02,0.000000000000000000e+00,1.961726052196032910e+00,-4.599090224830930218e+00,0.000000000000000000e+00
3.150886416952365821e+01,1.204017181558220244e+02,0.000000000000000000e+00,1.948958619761870681e+00,-4.604515207755964568e+00,0.000000000000000000e+00
3.150886592230207128e+01,1.204017133061761626e+02,0.000000000000000000e+00,1.936831907382192464e+00,-4.609629286889164845e+00,0.000000000000000000e+00
3.150886766439310094e+01,1.204017084512864386e+02,0.000000000000000000e+00,1.925314528647945611e+00,-4.614451643020781368e+00,0.000000000000000000e+00
3.150886939633404538e+01,1.204017035914512945e+02,0.000000000000000000e+00,1.914376548837940284e+00,-4.619000154715237727e+00,0.000000000000000000e+00
3.150887111863576706e+01,1.204016987269510537e+02,0.000000000000000000e+00,1.903989427860693695e+00,-4.623291496173993487e+00,0.000000000000000000e+00
3.150887283178395037e+01,1.204016938580489722e+02,0.000000000000000000e+00,1.894125964150259023e+00,-4.627341227090552955e+00,0.000000000000000000e+00
3.150887453624026691e+01,1.204016889849924183e+02,0.000000000000000000e+00,1.884760239697967910e+00,-4.631163875188796908e+00,0.000000000000000000e+00
3.150887623244350522e+01,1.204016841080139102e+02,0.000000000000000000e+00,1.875867566364872285e+00,-4.634773012075174670e+00,0.000000000000000000e+00
3.150887792081068639e+01,1.204016792273321954e+02,0.000000000000000000e+00,1.867424433587719701e+00,-4.638181322979907151e+00,0.000000000000000000e+00
3.150887960173807301e+01,1.204016743431529335e+02,0.000000000000000000e+00,1.859408457564170059e+00,-4.641400670911625781e+00,0.000000000000000000e+00
3.150888127560218877e+01,1.204016694556697473e+02,0.000000000000000000e+00,1.851798331979751522e+00,-4.644442155703638164e+00,0.000000000000000000e+00
3.150888294276076351e+01,1.204016645650649053e+02,0.000000000000000000e+00,1.844573780319436862e+00,-4.647316168387741087e+00,0.000000000000000000e+00
3.150888460355364629e+01,1.204016596715100320e+02,0.000000000000000000e+00,1.837715509790076585e+00,-4.650032441292969665e+00,0.000000000000000000e+00
3.150888625830365442e+01,1.204016547751668185e+02,0.000000000000000000e+00,1.831205166865906842e+00,-4.652600094231575056e+00,0.000000000000000000e+00
3.150888790731744393e+01,1.204016498761875766e+02,0.000000000000000000e+00,1.825025294457625069e+00,-4.655027677102458128e+00,0.000000000000000000e+00
3.150888955088625210e+01,1.204016449747159783e+02,0.000000000000000000e+00,1.819159290695667952e+00,-4.657323209213172888e+00,0.000000000000000000e+00
3.150889118928668964e+01,1.204016400708873817e+02,0.000000000000000000e+00,1.813591369310277202e+00,-4.659494215595007205e+00,0.000000000000000000e+00
3.150889282278144421e+01,1.204016351648295142e+02,0.000000000000000000e+00,1.808306521584207571e+00,-4.661547760561514764e+00,0.000000000000000000e+00
3.150889445161998381e+01,1.204016302566628553e+02,0.000000000000000000e+00,1.803290479848562056e+00,-4.663490478738816059e+00,0.000000000000000000e+00
3.150889607603917142e+01,1.204016253465010351e+02,0.000000000000000000e+00,1.798529682487842507e+00,-4.665328603775969363e+00,0.000000000000000000e+00
3.150889769626393999e+01,1.204016204344514165e+02,0.000000000000000000e+00,1.794011240416899522e+00,-4.667067994925494290e+00,0.000000000000000000e+00
3.150889931250785381e+01,1.204016155206152661e+02,0.000000000000000000e+00,1.789722904989814900e+00,-4.668714161667521623e+00,0.000000000000000000e+00
3.150890092497365913e+01,1.204016106050882655e+02,0.000000000000000000e+00,1.785653037298759349e+00,-4.670272286535953832e+00,0.000000000000000000e+00
3.150890253385387396e+01,1.204016056879607248e+02,0.000000000000000000e+00,1.781790578819504312e+00,-4.671747246291274358e+00,0.000000000000000000e+00
3.150890413933124989e+01,1.204016007693179944e+02,0.000000000000000000e+00,1.778125023359297563e+00,-4.673143631572172829e+00,0.000000000000000000e+00
3.150890574157928725e+01,1.204015958492407634e+02,0.000000000000000000e+00,1.774646390262350160e+00,-4.674465765146736729e+00,0.000000000000000000e+00
3.150890734076267918e+01,1.204015909278052021e+02,0.000000000000000000e+00,1.771345198828014222e+00,-4.675717718873648288e+00,0.000000000000000000e+00
3.150890893703776996e+01,1.204015860050833737e+02,0.000000000000000000e+00,1.768212443896844288e+00,-4.676903329474365378e+00,0.000000000000000000e+00
